Season,Team,Promoted
2002,Man City,true
2002,West Brom,true
2002,Birmingham,true
2003,Portsmouth,true
2003,Leicester,true
2003,Wolves,true
2004,Norwich,true
2004,West Brom,true
2004,Crystal Palace,true
2005,Sunderland,true
2005,Wigan,true
2005,West Ham,true
2006,Reading,true
2006,Sheffield United,true
2006,Watford,true
2007,Sunderland,true
2007,Birmingham,true
2007,Derby,true
2008,West Brom,true
2008,Stoke,true
2008,Hull,true
2009,Wolves,true
2009,Birmingham,true
2009,Burnley,true
2010,Newcastle,true
2010,West Brom,true
2010,Blackpool,true
2011,QPR,true
2011,Norwich,true
2011,Swansea,true
2012,Reading,true
2012,Southampton,true
2012,West Ham,true
2013,Cardiff,true
2013,Hull,true
2013,Crystal Palace,true
2014,Leicester,true
2014,Burnley,true
2014,QPR,true
2015,Bournemouth,true
2015,Watford,true
2015,Norwich,true
2016,Burnley,true
2016,Middlesbrough,true
2016,Hull,true
2017,Newcastle,true
2017,Brighton,true
2017,Huddersfield,true
2018,Wolves,true
2018,Cardiff,true
2018,Fulham,true
2019,Norwich,true
2019,Sheffield United,true
2019,Aston Villa,true
2020,Leeds,true
2020,West Brom,true
2020,Fulham,true
2021,Norwich,true
2021,Watford,true
2021,Brentford,true
2022,Fulham,true
2022,Bournemouth,true
2022,Nott'm Forest,true
2023,Sheffield United,true
2023,Burnley,true
2023,Luton,true
2024,Leicester,true
2024,Ipswich,true
2024,Southampton,true
2025,Burnley,true
2025,Leeds,true
2025,Sunderland,true
