Season,Team,Relegated
2003,West Ham,TRUE
2003,West Brom,TRUE
2003,Sunderland,TRUE
2004,Leicester,TRUE
2004,Leeds,TRUE
2004,Wolves,TRUE
2005,Crystal Palace,TRUE
2005,Norwich,TRUE
2005,Southampton,TRUE
2006,Birmingham,TRUE
2006,West Brom,TRUE
2006,Sunderland,TRUE
2007,Sheffield United,TRUE
2007,Charlton,TRUE
2007,Watford,TRUE
2008,Reading,TRUE
2008,Birmingham,TRUE
2008,Derby,TRUE
2009,Newcastle,TRUE
2009,Middlesbrough,TRUE
2009,West Brom,TRUE
2010,Burnley,TRUE
2010,Hull,TRUE
2010,Portsmouth,TRUE
2011,Birmingham,TRUE
2011,Blackpool,TRUE
2011,West Ham,TRUE
2012,Bolton,TRUE
2012,Blackburn,TRUE
2012,Wolves,TRUE
2013,Wigan,TRUE
2013,Reading,TRUE
2013,QPR,TRUE
2014,Norwich,TRUE
2014,Fulham,TRUE
2014,Cardiff,TRUE
2015,Hull,TRUE
2015,Burnley,TRUE
2015,QPR,TRUE
2016,Newcastle,TRUE
2016,Norwich,TRUE
2016,Aston Villa,TRUE
2017,Sunderland,TRUE
2017,Middlesbrough,TRUE
2017,Hull,TRUE
2018,Swansea,TRUE
2018,Stoke,TRUE
2018,West Brom,TRUE
2019,Cardiff,TRUE
2019,Fulham,TRUE
2019,Huddersfield,TRUE
2020,Bournemouth,TRUE
2020,Watford,TRUE
2020,Norwich,TRUE
2021,Fulham,TRUE
2021,West Brom,TRUE
2021,Sheffield United,TRUE
2022,Burnley,TRUE
2022,Watford,TRUE
2022,Norwich,TRUE
2023,Leicester,TRUE
2023,Leeds,TRUE
2023,Southampton,TRUE
2024,Luton,TRUE
2024,Burnley,TRUE
2024,Sheffield United,TRUE
2025,Southampton,TRUE
2025,Leicester,TRUE
2025,Ipswich,TRUE
